source_excel_row,brand,inferred_brand_method,tsw_supplier_sku,manufacturer_part_number,Categaory,prod,countryoforigin,tariffcd,eccnclasscd,Prod Description,Stocking Unit,Selling Unit,Selling_Conv,weight,Length,Width,Height,Pack Qty,BOX Qty,CASE Qty,CTN Qty,PLT Qty,All_Barcodes,UPC_List
4702,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050159,050159,AUTOMATIC TT PARTS,TTT050159,US,8205595560,,TENSION PLATE BLACK,EACH,EACH,1,0.036,6,0.25,0.25,,,,,,,
4703,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050162,050162,AUTOMATIC TT PARTS,TTT050162,,,,WASHER RETAINER,EACH,EACH,1,0.002,,,,,,,,,,
4704,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050164,050164,AUTOMATIC TT PARTS,TTT050164,US,8205595560,,SPINDLE SHAFT,EACH,EACH,1,0.068,2.5,0.5,0.5,,,,,,,
4705,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050166,050166,AUTOMATIC TT PARTS,TTT050166,US,8205595560,,GUIDE PLATE SPRING,EACH,EACH,1,0.003,1.1,0.5,0.5,,,,,,,
4706,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050167F,050167F,AUTOMATIC TT PARTS,TTT050167F,US,8205595560,,TENSION PLATE PIN,EACH,EACH,1,0.0065,1.25,0.25,0.25,,,,,,,
4707,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050168,050168,AUTOMATIC TT PARTS,TTT050168,US,8205595560,,BUSHING TRIGGER TAPETECH,EACH,EACH,1,0.001,0.6,0.3,0.3,,,,,,,
4708,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050177,050177,AUTOMATIC TT PARTS,TTT050177,US,8205595560,,DISENGAGING ROD,EACH,EACH,1,0.006,4,0.1,0.1,,,,,,,
4709,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050178,050178,AUTOMATIC TT PARTS,TTT050178,US,8205595560,,BASE BRACKET TAPETECH,EACH,EACH,1,0.075,3.5,1.5,0.5,,,,,,,
4710,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050179,050179,AUTOMATIC TT PARTS,TTT050179,US,8205595560,,COVER KEY FOR TAPER TAPETECH,EACH,EACH,1,0.021,3,0.8,0.5,,,,,,,
4711,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050180,050180,AUTOMATIC TT PARTS,TTT050180,US,8205595560,,LOCK TAPETECH,EACH,EACH,1,0.008,1,0.5,0.3,,,,,,,
4712,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050182F,050182F,AUTOMATIC TT PARTS,TTT050182F,US,8205595560,,TAPER HEAD ENCLOSURE TAPETECH,EACH,EACH,1,0.5865,7.9,7,4,,,,,,,
4713,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050185,050185,AUTOMATIC TT PARTS,TTT050185,US,8205595560,,SNAP OUT COVER TAPETECH,EACH,EACH,1,0.0645,6.1,2.7,0.2,,,,,,,
4714,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050186,050186,AUTOMATIC TT PARTS,TTT050186,US,8205595560,,GOOSER NEEDLE,EACH,EACH,1,0.0035,2,0.25,0.25,,,,,,,
4715,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050188,050188,AUTOMATIC TT PARTS,TTT050188,US,8205595560,,DOOR SEAL RETAINER,EACH,EACH,1,0.0025,1,0.5,0.1,,,,,,,
4716,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050189F,050189F,AUTOMATIC TT PARTS,TTT050189F,US,8205595560,,TENSION PLATE SUPPORT,EACH,EACH,1,0.015,3.25,0.75,0.25,,,,,,,
4717,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050190,050190,AUTOMATIC TT PARTS,TTT050190,US,8205595560,,GOOSER CAM,EACH,EACH,1,0.007,1,0.5,0.5,,,,,,,
