sku,name,type,brand,categories,regular_price,sale_price,effective_price,cogs,map_price,gross_profit,current_gross_margin_pct,regular_gross_margin_pct,current_markup_pct,map_gross_margin_pct,comparison_target_margin_pct,target_margin_price,allowable_cost_at_current_price,cost_gap_vs_target,map_violation
PMHS,"Columbia Predator Matrix Handle - Short 29""-39""",variation,Columbia Tools,(Uncategorized),384.00,,384.00,250.07,379.28,133.93,34.88,34.88,53.56,34.07,30.00,357.25,268.80,-18.73,0
PMH,"Columbia Predator Matrix Handle - 40""-60""",variation,Columbia Tools,(Uncategorized),418.00,,418.00,256.05,388.34,161.95,38.74,38.74,63.25,34.07,30.00,365.79,292.60,-36.55,0
PMHL,"Columbia Predator Matrix Handle - Long 56""-76""",variation,Columbia Tools,(Uncategorized),503.00,,503.00,285.59,433.14,217.41,43.22,43.22,76.13,34.07,30.00,407.99,352.10,-66.51,0
PC1HEXT,Columbia Predator One Handle - Extendable 3'-5',variation,Columbia Tools,(Uncategorized),164.85,,164.85,115.39,160.27,49.46,30.00,30.00,42.86,28.00,30.00,164.85,115.40,-0.01,0
PC1H,Columbia Predator One Handle - 4' Fixed,variation,Columbia Tools,(Uncategorized),95.79,,95.79,57.33,95.79,38.46,40.15,40.15,67.09,40.15,30.00,81.90,67.05,-9.72,0
PCHXL,Columbia Predator One Handle - Long Extendable 4'-8',variation,Columbia Tools,(Uncategorized),216.15,,216.15,142.51,216.15,73.64,34.07,34.07,51.67,34.07,30.00,203.59,151.30,-8.79,0
2.5SF,"Columbia Standard Flusher - 2.5""",variation,Columbia Tools,(Uncategorized),116.80,,116.80,70.20,116.80,46.60,39.90,39.90,66.38,39.90,30.00,100.29,81.76,-11.56,0
3SF,"Columbia Standard Flusher - 3""",variation,Columbia Tools,(Uncategorized),122.21,,122.21,73.91,122.21,48.30,39.52,39.52,65.35,39.52,30.00,105.59,85.55,-11.64,0
3WTSF,"Columbia Standard Flusher - 3"" Widetrack",variation,Columbia Tools,(Uncategorized),127.62,,127.62,75.12,127.62,52.50,41.14,41.14,69.89,41.14,30.00,107.32,89.33,-14.21,0
3.5SF,"Columbia Standard Flusher - 3.5""",variation,Columbia Tools,(Uncategorized),133.02,,133.02,77.59,133.02,55.43,41.67,41.67,71.44,41.67,30.00,110.85,93.11,-15.52,0
4SF,"Columbia Standard Flusher - 4""",variation,Columbia Tools,(Uncategorized),140.60,,140.60,,140.60,,,,,,30.00,,98.42,,0
7CFB,"Columbia Throttle Corner Flusher Box - 7""",variation,Columbia Tools,(Uncategorized),313.64,,313.64,210.29,313.64,103.35,32.95,32.95,49.15,32.95,30.00,300.42,219.55,-9.26,0
8CFB,"Columbia Throttle Corner Flusher Box - 8""",variation,Columbia Tools,(Uncategorized),324.82,,324.82,227.37,324.45,97.45,30.00,30.00,42.86,29.92,30.00,324.82,227.37,0.00,0
TCS,Columbia Tool Case - Gun Case,variation,Columbia Tools,(Uncategorized),201.88,,201.88,138.38,201.88,63.50,31.45,31.45,45.89,31.45,30.00,197.69,141.32,-2.94,0
RC,Columbia Tool Case - Road Case,variation,Columbia Tools,(Uncategorized),1020.16,,1020.16,658.08,1020.16,362.08,35.49,35.49,55.02,35.49,30.00,940.12,714.11,-56.03,0
