Status,DTB Product,DTB SKU,DTB Brand,Our Price,Competitor,Competitor Product,Competitor SKU,Competitor Price,Price Difference,Price Position,Why It Matched,Match Score
Confirmed Match,"Blade Holder - 2""",HNS8-2,Columbia Tools,$33.00,All-Wall,HNS8-2 Columbia Nail Spotter Blade Holder 2in #12527,"HNS8-2""",$38.44,$5.44,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Blade Holder - 3""",HNS8-3,Columbia Tools,$33.00,All-Wall,HNS8-3 Columbia Nail Spotter Blade Holder 3in #12528,HNS8-3”,$38.44,$5.44,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Bleeder Screw,HH16A,Columbia Tools,$17.00,Wall Tools,Columbia Bleeder Screw for Hydra Reach Flat Box Handle (COLM-HH16A),HH16A,$4.82,-$12.18,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Bottom Cap,HH10B,Columbia Tools,$2.00,All-Wall,COLHH10B Bottom Cap for COL88,HH10B,$2.18,$0.18,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Bottom Retainer Corner Clip,AH9-CLIP,Columbia Tools,,All-Wall,AH9 Columbia Angle Head Retainer Clip (Long) #5814,AH9,$12.25,,,SKU or manufacturer part number matched exactly.,100
Confirmed Match,"Bottom Retainer Corner Clip - 3.5""",AH9A,Columbia Tools,$11.50,All-Wall,AH9-3.5 Columbia Angle Head Retainer Clip (Long) Fat Heads #5815,AH9A,$11.32,-$0.18,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Bottom Retainer Corner Clip - Standard,AH9,Columbia Tools,$10.00,All-Wall,AH9 Columbia Angle Head Retainer Clip (Long) #5814,AH9,$12.25,$2.25,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Box Mount,CFB8,Columbia Tools,$44.00,All-Wall,CFB8 Columbia Angle Box Handle Mount Casting #5549,CFB8,$52.72,$8.72,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Bracket Brace,CT87A,Columbia Tools,$14.50,All-Wall,CT87A Columbia Taper Bracket Base #5860,CT87A,$10.98,-$3.52,Competitor is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brake,HH7,Columbia Tools,$22.00,All-Wall,HH7 Columbia Hydra Handle Brake #6148,HH7,$26.52,$4.52,DTB is lower,SKU or manufacturer part number matched exactly.,100
Confirmed Match,Brake Connecting Strap - 3',BH9-3,Columbia Tools,$27.00,Wall Tools,Columbia 3 ft. Brake Connecting Strap for 180 Grip Flat Box Handle (COLM-BH9-3),BH9-3,$24.79,-$2.21,Competitor is lower,SKU or manufacturer part number matched exactly.,100
