sku,name,type,brand,product_kind,category_key,display_category_key,finding,workflow,field,current_value
CFB5B,Cone Ball,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT132,Connecting Link,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
MH7,Connecting Link Fork,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
MH5,Connecting Link Pin,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT45,Connecting Rod,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
MH16,Connecting Rod Housing,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT112,Connecting Stud,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT104,Connection Strap,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT105,Crimper Lever,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT10A,Crimping Arm Shaft Bushing - L,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT47,Crimping Wheel,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT50,Crimping Wheel Bushing,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CR4,Cut Washer,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT42A,Diamond Blade,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT13,Dog Base Bracket,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CFB4,Door,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
HNS15,Door Gasket,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CFB7,Door Gasket,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
HNS-DOOR-SPRING,Door Spring,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT-SPROCKET,Drive Sprocket,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CFB15,Door Hinge,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FFB17,Door Spring,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FFB16,Door Spring Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CFB11A,Door Stop,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FFB32,Door Stop,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT78,Drive Chain,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT70,Drive Shaft,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT87,Engraved Cover Plate Cap,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
